"","simnum","dHat","nHat","pHat","pHatZeroNeg","pHatDropNeg","aHat","square","TrapSpacing","FielSize","CatchRadius","NumVentures","density"
"56",2,1.25,5,1,1,1,4,"1",1,10,0.5,4,1
"57",2,0.880208333333333,14.0833333333333,0.722649901887385,0.722649901887385,0.722649901887385,16,"2",1,10,0.5,4,1
"58",2,1.19729344729345,43.1025641025641,0.779136947850307,0.779136947850307,0.779136947850307,36,"3",1,10,0.5,4,1
"59",2,1.39508928571429,89.2857142857143,0.6,0.6,0.6,64,"4",1,10,0.5,4,1
"60",2,1.7202380952381,48.1666666666667,0.45767385545336,0.45767385545336,0.45767385545336,28,"5",1,10,0.5,4,1
"61",3,0.75,3,1,1,1,4,"1",1,10,0.5,4,1
"62",3,0.75,12,1,1,1,16,"2",1,10,0.5,4,1
"63",3,1.05882352941176,38.1176470588235,0.764297739604484,0.764297739604484,0.764297739604484,36,"3",1,10,0.5,4,1
"64",3,1.35216346153846,86.5384615384615,0.634851628329889,0.634851628329889,0.634851628329889,64,"4",1,10,0.5,4,1
"65",3,1.75230414746544,49.0645161290323,0.547089186342162,0.547089186342162,0.547089186342162,28,"5",1,10,0.5,4,1
"66",4,2,8,1,1,1,4,"1",1,10,0.5,4,1
"67",4,1.1875,19,1,1,1,16,"2",1,10,0.5,4,1
"68",4,1.11184210526316,40.0263157894737,0.839871846194913,0.839871846194913,0.839871846194913,36,"3",1,10,0.5,4,1
"69",4,1.41884328358209,90.8059701492537,0.624466191900595,0.624466191900595,0.624466191900595,64,"4",1,10,0.5,4,1
"70",4,1.87315270935961,52.448275862069,0.493630316458167,0.493630316458167,0.493630316458167,28,"5",1,10,0.5,4,1
"71",5,1,4,1,1,1,4,"1",1,10,0.5,4,1
"72",5,1.0625,17,1,1,1,16,"2",1,10,0.5,4,1
"73",5,1.25641025641026,45.2307692307692,0.732738758087576,0.732738758087576,0.732738758087576,36,"3",1,10,0.5,4,1
"74",5,1.36501024590164,87.3606557377049,0.594557572960308,0.594557572960308,0.594557572960308,64,"4",1,10,0.5,4,1
"75",5,1.56006493506493,43.6818181818182,0.461184093919675,0.461184093919675,0.461184093919675,28,"5",1,10,0.5,4,1
"76",6,NA,NA,NA,NA,NA,4,"1",1,10,0.5,4,1
"77",6,0.875,14,1,1,1,16,"2",1,10,0.5,4,1
"78",6,1.22880116959064,44.2368421052632,0.72949910959977,0.72949910959977,0.72949910959977,36,"3",1,10,0.5,4,1
"79",6,1.47521551724138,94.4137931034483,0.535009445024723,0.535009445024723,0.535009445024723,64,"4",1,10,0.5,4,1
"80",6,1.94464285714286,54.45,0.372354085539152,0.372354085539152,0.372354085539152,28,"5",1,10,0.5,4,1
"81",7,1.5,6,1,1,1,4,"1",1,10,0.5,4,1
"82",7,1.19117647058824,19.0588235294118,0.764297739604484,0.764297739604484,0.764297739604484,16,"2",1,10,0.5,4,1
"83",7,1.1797385620915,42.4705882352941,0.675557157738475,0.675557157738475,0.675557157738475,36,"3",1,10,0.5,4,1
"84",7,1.39797794117647,89.4705882352941,0.641942562980284,0.641942562980284,0.641942562980284,64,"4",1,10,0.5,4,1
"85",7,1.68067226890756,47.0588235294118,0.612701665379258,0.612701665379258,0.612701665379258,28,"5",1,10,0.5,4,1
"86",8,0.75,3,1,1,1,4,"1",1,10,0.5,4,1
"87",8,1.06666666666667,17.0666666666667,0.75,0.75,0.75,16,"2",1,10,0.5,4,1
"88",8,1.1523569023569,41.4848484848485,0.671202025389285,0.671202025389285,0.671202025389285,36,"3",1,10,0.5,4,1
"89",8,1.46450892857143,93.7285714285714,0.631486134404956,0.631486134404956,0.631486134404956,64,"4",1,10,0.5,4,1
"90",8,1.86872586872587,52.3243243243243,0.601137982391267,0.601137982391267,0.601137982391267,28,"5",1,10,0.5,4,1
"91",9,0.25,1,1,1,1,4,"1",1,10,0.5,4,1
"92",9,1.3125,21,1,1,1,16,"2",1,10,0.5,4,1
"93",9,1.50520833333333,54.1875,0.757464374963667,0.757464374963667,0.757464374963667,36,"3",1,10,0.5,4,1
"94",9,1.39508928571429,89.2857142857143,0.6,0.6,0.6,64,"4",1,10,0.5,4,1
"95",9,1.37142857142857,38.4,0.387627564304206,0.387627564304206,0.387627564304206,28,"5",1,10,0.5,4,1
"96",10,1.75,7,1,1,1,4,"1",1,10,0.5,4,1
"97",10,1.06666666666667,17.0666666666667,0.75,0.75,0.75,16,"2",1,10,0.5,4,1
"98",10,1.54320987654321,55.5555555555556,0.683772233983162,0.683772233983162,0.683772233983162,36,"3",1,10,0.5,4,1
"99",10,1.45862268518519,93.3518518518518,0.510677386872107,0.510677386872107,0.510677386872107,64,"4",1,10,0.5,4,1
"100",10,1.75,49,0.244071053981546,0.244071053981546,0.244071053981546,28,"5",1,10,0.5,4,1
"101",1,1.5,6,1,1,1,4,"1",1,10,0.5,4,1.5
"102",1,1.625,26,1,1,1,16,"2",1,10,0.5,4,1.5
"103",1,1.91837606837607,69.0615384615385,0.827226314883728,0.827226314883728,0.827226314883728,36,"3",1,10,0.5,4,1.5
"104",1,2.07660800970874,132.902912621359,0.654083652224819,0.654083652224819,0.654083652224819,64,"4",1,10,0.5,4,1.5
"105",1,2.34962406015038,65.7894736842105,0.510102051443364,0.510102051443364,0.510102051443364,28,"5",1,10,0.5,4,1.5
"106",2,3.25,13,1,1,1,4,"1",1,10,0.5,4,1.5
"107",2,1.87723214285714,30.0357142857143,0.814304661822948,0.814304661822948,0.814304661822948,16,"2",1,10,0.5,4,1.5
"108",2,1.8929211469534,68.1451612903226,0.78516553778817,0.78516553778817,0.78516553778817,36,"3",1,10,0.5,4,1.5
"109",2,2.05247641509434,131.358490566038,0.68110359792836,0.68110359792836,0.68110359792836,64,"4",1,10,0.5,4,1.5
"110",2,2.28003246753247,63.8409090909091,0.587918308153933,0.587918308153933,0.587918308153933,28,"5",1,10,0.5,4,1.5
"111",3,2.28571428571429,9.14285714285714,0.646446609406726,0.646446609406726,0.646446609406726,4,"1",1,10,0.5,4,1.5
"112",3,2.07112068965517,33.1379310344828,0.745999745999619,0.745999745999619,0.745999745999619,16,"2",1,10,0.5,4,1.5
"113",3,2.121632996633,76.3787878787879,0.734627553782862,0.734627553782862,0.734627553782862,36,"3",1,10,0.5,4,1.5
"114",3,2.0796875,133.1,0.698488655422236,0.698488655422236,0.698488655422236,64,"4",1,10,0.5,4,1.5
"115",3,2.02922077922078,56.8181818181818,0.653589838486225,0.653589838486225,0.653589838486225,28,"5",1,10,0.5,4,1.5
"116",4,1.25,5,1,1,1,4,"1",1,10,0.5,4,1.5
"117",4,1.56521739130435,25.0434782608696,0.795875854768068,0.795875854768068,0.795875854768068,16,"2",1,10,0.5,4,1.5
"118",4,1.77962962962963,64.0666666666667,0.820394697973225,0.820394697973225,0.820394697973225,36,"3",1,10,0.5,4,1.5
"119",4,2.16927083333333,138.833333333333,0.622035526990773,0.622035526990773,0.622035526990773,64,"4",1,10,0.5,4,1.5
"120",4,2.76275510204082,77.3571428571429,0.487010823957423,0.487010823957423,0.487010823957423,28,"5",1,10,0.5,4,1.5
"121",5,0.75,3,1,1,1,4,"1",1,10,0.5,4,1.5
"122",5,1.87723214285714,30.0357142857143,0.814304661822948,0.814304661822948,0.814304661822948,16,"2",1,10,0.5,4,1.5
"123",5,2.11265432098765,76.0555555555556,0.835601012694643,0.835601012694643,0.835601012694643,36,"3",1,10,0.5,4,1.5
"124",5,2.09696691176471,134.205882352941,0.641942562980284,0.641942562980284,0.641942562980284,64,"4",1,10,0.5,4,1.5
"125",5,2.20119047619048,61.6333333333333,0.450158585230842,0.450158585230842,0.450158585230842,28,"5",1,10,0.5,4,1.5
"126",6,2,8,1,1,1,4,"1",1,10,0.5,4,1.5
"127",6,1.625,26,1,1,1,16,"2",1,10,0.5,4,1.5
"128",6,1.8375,66.15,0.781782109764008,0.781782109764008,0.781782109764008,36,"3",1,10,0.5,4,1.5
"129",6,2.23500631313131,143.040404040404,0.590039969154606,0.590039969154606,0.590039969154606,64,"4",1,10,0.5,4,1.5
"130",6,2.87179487179487,80.4102564102564,0.44902683498066,0.44902683498066,0.44902683498066,28,"5",1,10,0.5,4,1.5
"131",7,1.75,7,1,1,1,4,"1",1,10,0.5,4,1.5
"132",7,1.69,27.04,0.803883864861816,0.803883864861816,0.803883864861816,16,"2",1,10,0.5,4,1.5
"133",7,1.8929211469534,68.1451612903226,0.78516553778817,0.78516553778817,0.78516553778817,36,"3",1,10,0.5,4,1.5
"134",7,2.10745614035088,134.877192982456,0.716019082876468,0.716019082876468,0.716019082876468,64,"4",1,10,0.5,4,1.5
"135",7,2.3907967032967,66.9423076923077,0.655552518086414,0.655552518086414,0.655552518086414,28,"5",1,10,0.5,4,1.5
"136",8,0.5,2,1,1,1,4,"1",1,10,0.5,4,1.5
"137",8,1.12890625,18.0625,0.757464374963667,0.757464374963667,0.757464374963667,16,"2",1,10,0.5,4,1.5
"138",8,1.38946759259259,50.0208333333333,0.857142857142857,0.857142857142857,0.857142857142857,36,"3",1,10,0.5,4,1.5
"139",8,2.09342783505155,133.979381443299,0.613835777139384,0.613835777139384,0.613835777139384,64,"4",1,10,0.5,4,1.5
"140",8,3.07944606413994,86.2244897959184,0.503861061643166,0.503861061643166,0.503861061643166,28,"5",1,10,0.5,4,1.5
"141",9,1,4,1,1,1,4,"1",1,10,0.5,4,1.5
"142",9,1.375,22,1,1,1,16,"2",1,10,0.5,4,1.5
"143",9,1.6255787037037,58.5208333333333,0.692852441583024,0.692852441583024,0.692852441583024,36,"3",1,10,0.5,4,1.5
"144",9,2.1390625,136.9,0.56504116379916,0.56504116379916,0.56504116379916,64,"4",1,10,0.5,4,1.5
"145",9,2.86054421768708,80.0952380952381,0.47477426856111,0.47477426856111,0.47477426856111,28,"5",1,10,0.5,4,1.5
"146",10,2,8,1,1,1,4,"1",1,10,0.5,4,1.5
"147",10,1.625,26,1,1,1,16,"2",1,10,0.5,4,1.5
"148",10,1.6530612244898,59.5102040816327,0.695709690274908,0.695709690274908,0.695709690274908,36,"3",1,10,0.5,4,1.5
"149",10,2.16752577319588,138.721649484536,0.59528639329981,0.59528639329981,0.59528639329981,64,"4",1,10,0.5,4,1.5
"150",10,2.86011904761905,80.0833333333333,0.524809036688509,0.524809036688509,0.524809036688509,28,"5",1,10,0.5,4,1.5
"151",1,1.5,6,1,1,1,4,"1",1,10,0.5,4,2
"152",1,1.3125,21,1,1,1,16,"2",1,10,0.5,4,2
"153",1,2.50542005420054,90.1951219512195,0.784334453593123,0.784334453593123,0.784334453593123,36,"3",1,10,0.5,4,2
"154",1,2.75572519083969,176.36641221374,0.628304029162486,0.628304029162486,0.628304029162486,64,"4",1,10,0.5,4,2
"155",1,3.17492711370262,88.8979591836735,0.492480781077448,0.492480781077448,0.492480781077448,28,"5",1,10,0.5,4,2
"156",2,2.75,11,1,1,1,4,"1",1,10,0.5,4,2
"157",2,2.6265625,42.025,0.843826238111394,0.843826238111394,0.843826238111394,16,"2",1,10,0.5,4,2
"158",2,2.55681818181818,92.0454545454545,0.850928801500014,0.850928801500014,0.850928801500014,36,"3",1,10,0.5,4,2
"159",2,2.83768656716418,181.611940298507,0.624466191900595,0.624466191900595,0.624466191900595,64,"4",1,10,0.5,4,2
"160",2,3.38198757763975,94.695652173913,0.44951811743682,0.44951811743682,0.44951811743682,28,"5",1,10,0.5,4,2
"161",3,1.25,5,1,1,1,4,"1",1,10,0.5,4,2
"162",3,2.06451612903226,33.0322580645161,0.823223304703363,0.823223304703363,0.823223304703363,16,"2",1,10,0.5,4,2
"163",3,2.40384615384615,86.5384615384615,0.634851628329889,0.634851628329889,0.634851628329889,36,"3",1,10,0.5,4,2
"164",3,2.92021004098361,186.893442622951,0.561761503137332,0.561761503137332,0.561761503137332,64,"4",1,10,0.5,4,2
"165",3,3.61904761904762,101.333333333333,0.5,0.5,0.5,28,"5",1,10,0.5,4,2
"166",4,1.75,7,1,1,1,4,"1",1,10,0.5,4,2
"167",4,2.81395348837209,45.0232558139535,0.849244327711118,0.849244327711118,0.849244327711118,16,"2",1,10,0.5,4,2
"168",4,2.61395202020202,94.1022727272727,0.818431740199359,0.818431740199359,0.818431740199359,36,"3",1,10,0.5,4,2
"169",4,2.71225792253521,173.584507042254,0.690902278763034,0.690902278763034,0.690902278763034,64,"4",1,10,0.5,4,2
"170",4,2.88095238095238,80.6666666666667,0.573598567288779,0.573598567288779,0.573598567288779,28,"5",1,10,0.5,4,2
"171",5,3.5,14,1,1,1,4,"1",1,10,0.5,4,2
"172",5,2.8125,45,1,1,1,16,"2",1,10,0.5,4,2
"173",5,2.39802631578947,86.3289473684211,0.751548002500023,0.751548002500023,0.751548002500023,36,"3",1,10,0.5,4,2
"174",5,2.8351814516129,181.451612903226,0.583666800106774,0.583666800106774,0.583666800106774,64,"4",1,10,0.5,4,2
"175",5,3.54241071428571,99.1875,0.448322715632629,0.448322715632629,0.448322715632629,28,"5",1,10,0.5,4,2
"176",6,2.5,10,1,1,1,4,"1",1,10,0.5,4,2
"177",6,2.6875,43,1,1,1,16,"2",1,10,0.5,4,2
"178",6,2.45,88.2,0.781782109764008,0.781782109764008,0.781782109764008,36,"3",1,10,0.5,4,2
"179",6,2.86557729007634,183.396946564885,0.606504498529628,0.606504498529628,0.606504498529628,64,"4",1,10,0.5,4,2
"180",6,3.53011204481793,98.843137254902,0.469255107565725,0.469255107565725,0.469255107565725,28,"5",1,10,0.5,4,2
"181",7,1.5,6,1,1,1,4,"1",1,10,0.5,4,2
"182",7,2,32,1,1,1,16,"2",1,10,0.5,4,2
"183",7,2.20070422535211,79.2253521126761,0.76905989232415,0.76905989232415,0.76905989232415,36,"3",1,10,0.5,4,2
"184",7,2.81666666666667,180.266666666667,0.633100307147329,0.633100307147329,0.633100307147329,64,"4",1,10,0.5,4,2
"185",7,3.66127232142857,102.515625,0.541877152709149,0.541877152709149,0.541877152709149,28,"5",1,10,0.5,4,2
"186",8,2,8,1,1,1,4,"1",1,10,0.5,4,2
"187",8,2.07112068965517,33.1379310344828,0.745999745999619,0.745999745999619,0.745999745999619,16,"2",1,10,0.5,4,2
"188",8,2.46283783783784,88.6621621621622,0.706027632103934,0.706027632103934,0.706027632103934,36,"3",1,10,0.5,4,2
"189",8,2.86810661764706,183.558823529412,0.626850557645983,0.626850557645983,0.626850557645983,64,"4",1,10,0.5,4,2
"190",8,3.41532258064516,95.6290322580645,0.558632585247625,0.558632585247625,0.558632585247625,28,"5",1,10,0.5,4,2
"191",9,2.5,10,1,1,1,4,"1",1,10,0.5,4,2
"192",9,2.06451612903226,33.0322580645161,0.823223304703363,0.823223304703363,0.823223304703363,16,"2",1,10,0.5,4,2
"193",9,2.33208955223881,83.955223880597,0.67340136762891,0.67340136762891,0.67340136762891,36,"3",1,10,0.5,4,2
"194",9,2.84183902877698,181.877697841727,0.645336548934046,0.645336548934046,0.645336548934046,64,"4",1,10,0.5,4,2
"195",9,3.5,98,0.622035526990773,0.622035526990773,0.622035526990773,28,"5",1,10,0.5,4,2
"196",10,2,8,1,1,1,4,"1",1,10,0.5,4,2
"197",10,2.07112068965517,33.1379310344828,0.745999745999619,0.745999745999619,0.745999745999619,16,"2",1,10,0.5,4,2
"198",10,2.37037037037037,85.3333333333333,0.75,0.75,0.75,36,"3",1,10,0.5,4,2
"199",10,2.94787779850746,188.664179104478,0.603474207140928,0.603474207140928,0.603474207140928,64,"4",1,10,0.5,4,2
"200",10,3.77784503631961,105.779661016949,0.496845394573372,0.496845394573372,0.496845394573372,28,"5",1,10,0.5,4,2
"201",1,0.25,1,1,1,1,4,"1",1,11,0.5,4,0.5
"202",1,0.5,8,1,1,1,16,"2",1,11,0.5,4,0.5
"203",1,0.626736111111111,22.5625,0.602640292880487,0.602640292880487,0.602640292880487,36,"3",1,11,0.5,4,0.5
"204",1,0.723214285714286,46.2857142857143,0.528595479208968,0.528595479208968,0.528595479208968,64,"4",1,11,0.5,4,0.5
"205",1,0.860119047619048,24.0833333333333,0.45767385545336,0.45767385545336,0.45767385545336,28,"5",1,11,0.5,4,0.5
"206",2,0.75,3,1,1,1,4,"1",1,11,0.5,4,0.5
"207",2,0.875,14,1,1,1,16,"2",1,11,0.5,4,0.5
"208",2,0.727272727272727,26.1818181818182,0.711324865405187,0.711324865405187,0.711324865405187,36,"3",1,11,0.5,4,0.5
"209",2,0.891276041666667,57.0416666666667,0.407251021636181,0.407251021636181,0.407251021636181,64,"4",1,11,0.5,4,0.5
"210",2,3.01785714285714,84.5,0.0801337889922001,0.0801337889922001,0.0801337889922001,28,"5",1,11,0.5,4,0.5
"211",3,NA,NA,NA,NA,NA,4,"1",1,11,0.5,4,0.5
"212",3,0.3125,5,1,1,1,16,"2",1,11,0.5,4,0.5
"213",3,0.472222222222222,17,1,1,1,36,"3",1,11,0.5,4,0.5
"214",3,0.663602941176471,42.4705882352941,0.675557157738475,0.675557157738475,0.675557157738475,64,"4",1,11,0.5,4,0.5
"215",3,0.926470588235294,25.9411764705882,0.563564219528015,0.563564219528015,0.563564219528015,28,"5",1,11,0.5,4,0.5
"216",4,0.75,3,1,1,1,4,"1",1,11,0.5,4,0.5
"217",4,0.625,10,1,1,1,16,"2",1,11,0.5,4,0.5
"218",4,0.557098765432099,20.0555555555556,0.770584266129438,0.770584266129438,0.770584266129438,36,"3",1,11,0.5,4,0.5
"219",4,0.720170454545455,46.0909090909091,0.607767729723632,0.607767729723632,0.607767729723632,64,"4",1,11,0.5,4,0.5
"220",4,0.952380952380952,26.6666666666667,0.5,0.5,0.5,28,"5",1,11,0.5,4,0.5
"221",5,NA,NA,NA,NA,NA,4,"1",1,11,0.5,4,0.5
"222",5,0.75,12,1,1,1,16,"2",1,11,0.5,4,0.5
"223",5,0.806584362139918,29.037037037037,0.811017763495386,0.811017763495386,0.811017763495386,36,"3",1,11,0.5,4,0.5
"224",5,0.78125,50,0.552786404500042,0.552786404500042,0.552786404500042,64,"4",1,11,0.5,4,0.5
"225",5,1.02857142857143,28.8,0.236237384174027,0.236237384174027,0.236237384174027,28,"5",1,11,0.5,4,0.5
"226",6,0.75,3,1,1,1,4,"1",1,11,0.5,4,0.5
"227",6,0.5,8,1,1,1,16,"2",1,11,0.5,4,0.5
"228",6,0.5625,20.25,0.666666666666667,0.666666666666667,0.666666666666667,36,"3",1,11,0.5,4,0.5
"229",6,0.797526041666667,51.0416666666667,0.439388089418612,0.439388089418612,0.439388089418612,64,"4",1,11,0.5,4,0.5
"230",6,1.29017857142857,36.125,0.272393124891001,0.272393124891001,0.272393124891001,28,"5",1,11,0.5,4,0.5
"231",7,1,4,1,1,1,4,"1",1,11,0.5,4,0.5
"232",7,0.625,10,1,1,1,16,"2",1,11,0.5,4,0.5
"233",7,0.953373015873016,34.3214285714286,0.688914491580872,0.688914491580872,0.688914491580872,36,"3",1,11,0.5,4,0.5
"234",7,0.7875,50.4,0.591751709536137,0.591751709536137,0.591751709536137,64,"4",1,11,0.5,4,0.5
"235",7,0.61734693877551,17.2857142857143,0.396977310844473,0.396977310844473,0.396977310844473,28,"5",1,11,0.5,4,0.5
"236",8,0.5,2,1,1,1,4,"1",1,11,0.5,4,0.5
"237",8,0.4375,7,1,1,1,16,"2",1,11,0.5,4,0.5
"238",8,0.65359477124183,23.5294117647059,0.612701665379258,0.612701665379258,0.612701665379258,36,"3",1,11,0.5,4,0.5
"239",8,0.835227272727273,53.4545454545455,0.537089950113724,0.537089950113724,0.537089950113724,64,"4",1,11,0.5,4,0.5
"240",8,1.08035714285714,30.25,0.477767032132906,0.477767032132906,0.477767032132906,28,"5",1,11,0.5,4,0.5
"241",9,0.25,1,1,1,1,4,"1",1,11,0.5,4,0.5
"242",9,0.694444444444444,11.1111111111111,0.683772233983162,0.683772233983162,0.683772233983162,16,"2",1,11,0.5,4,0.5
"243",9,0.695652173913043,25.0434782608696,0.795875854768068,0.795875854768068,0.795875854768068,36,"3",1,11,0.5,4,0.5
"244",9,0.772518382352941,49.4411764705882,0.586803064729331,0.586803064729331,0.586803064729331,64,"4",1,11,0.5,4,0.5
"245",9,0.938311688311688,26.2727272727273,0.405911474213995,0.405911474213995,0.405911474213995,28,"5",1,11,0.5,4,0.5
"246",10,0.25,1,1,1,1,4,"1",1,11,0.5,4,0.5
"247",10,0.6875,11,1,1,1,16,"2",1,11,0.5,4,0.5
"248",10,0.666666666666667,24,1,1,1,36,"3",1,11,0.5,4,0.5
"249",10,0.775641025641026,49.6410256410256,0.662900068768379,0.662900068768379,0.662900068768379,64,"4",1,11,0.5,4,0.5
"250",10,0.952380952380952,26.6666666666667,0.5,0.5,0.5,28,"5",1,11,0.5,4,0.5
"251",1,0.5,2,1,1,1,4,"1",1,11,0.5,4,1
"252",1,0.625,10,1,1,1,16,"2",1,11,0.5,4,1
"253",1,1.19729344729345,43.1025641025641,0.779136947850307,0.779136947850307,0.779136947850307,36,"3",1,11,0.5,4,1
"254",1,1.43520833333333,91.8533333333333,0.689539789717467,0.689539789717467,0.689539789717467,64,"4",1,11,0.5,4,1
"255",1,1.75,49,0.622035526990773,0.622035526990773,0.622035526990773,28,"5",1,11,0.5,4,1
"256",2,0.75,3,1,1,1,4,"1",1,11,0.5,4,1
"257",2,1.0625,17,1,1,1,16,"2",1,11,0.5,4,1
"258",2,1.3994708994709,50.3809523809524,0.705116087690206,0.705116087690206,0.705116087690206,36,"3",1,11,0.5,4,1
"259",2,1.54503676470588,98.8823529411765,0.586803064729331,0.586803064729331,0.586803064729331,64,"4",1,11,0.5,4,1
"260",2,1.78021978021978,49.8461538461538,0.47295372330527,0.47295372330527,0.47295372330527,28,"5",1,11,0.5,4,1
"261",3,0.75,3,1,1,1,4,"1",1,11,0.5,4,1
"262",3,0.75,12,1,1,1,16,"2",1,11,0.5,4,1
"263",3,1.11846405228758,40.2647058823529,0.71525260127425,0.71525260127425,0.71525260127425,36,"3",1,11,0.5,4,1
